,Model,Select-Method,Select-Function,Feature-Count,Train-S,Test-S,R2,RMSE,AE
20,LinearRegression,Recursive,DecisionTreeRegressor,4,0.08475191477003885,0.08372079464589499,0.08372079464589499,21781.76957841247,14585.905078469073
21,DecisionTreeRegressor,Recursive,DecisionTreeRegressor,4,1.0,0.8741291307650939,0.8741291307650939,8073.128401406384,2543.8433973796364
22,LinearRegression,Recursive,LinearRegression,5,0.055643835416708365,0.055175795353490154,0.055175795353490154,22118.453054448528,14866.856352809544
23,DecisionTreeRegressor,Recursive,LinearRegression,5,0.9965147830132814,0.8448060780311853,0.8448060780311855,8964.30446337796,3368.024124252464
24,LinearRegression,Recursive,DecisionTreeRegressor,5,0.08488886652184546,0.08402197660998434,0.08402197660998434,21778.189438600435,14582.464879616315
25,DecisionTreeRegressor,Recursive,DecisionTreeRegressor,5,1.0,0.8692935434341439,0.8692935434341439,8226.73986428008,2588.8332400313116
26,LinearRegression,Recursive,LinearRegression,6,0.05820546651200687,0.05752715234881945,0.057527152348819444,22090.913128328837,14855.924056043028
27,DecisionTreeRegressor,Recursive,LinearRegression,6,0.9995045709329318,0.8851033500677008,0.8851033500677008,7713.170423363956,2607.4572379043416
28,LinearRegression,Recursive,DecisionTreeRegressor,6,0.08492058594561713,0.08405245447088083,0.08405245447088083,21777.82711650712,14582.591450335774
29,DecisionTreeRegressor,Recursive,DecisionTreeRegressor,6,1.0,0.8794978268011435,0.8794978268011435,7899.083120871113,2515.3847296218105
30,LinearRegression,Recursive,LinearRegression,7,0.06004227336563751,0.05875349525224949,0.05875349525224949,22076.53613431537,14842.101403859555
31,DecisionTreeRegressor,Recursive,LinearRegression,7,1.0,0.89696803241652,0.89696803241652,7304.075286157119,2419.9724725826472
32,LinearRegression,Recursive,DecisionTreeRegressor,7,0.08574198205385153,0.08516828255620212,0.08516828255620212,21764.55795248049,14578.876599527453
33,DecisionTreeRegressor,Recursive,DecisionTreeRegressor,7,1.0,0.9025972458947114,0.9025972458947114,7101.741541634625,2431.50627234702
34,LinearRegression,Recursive,LinearRegression,8,0.06015056908558447,0.05898055161816673,0.05898055161816673,22073.87321850339,14839.769797011051
35,DecisionTreeRegressor,Recursive,LinearRegression,8,1.0,0.896968786017695,0.896968786017695,7304.0485742059045,2455.806927912328
36,LinearRegression,Recursive,DecisionTreeRegressor,8,0.08593045644268604,0.08527528373561055,0.08527528373561055,21763.285094627812,14578.73985483135
37,DecisionTreeRegressor,Recursive,DecisionTreeRegressor,8,1.0,0.9094118994931397,0.9094118994931397,6848.805311622487,2386.7238712432095
38,LinearRegression,Recursive,LinearRegression,9,0.060974811615481676,0.060185648506888456,0.060185648506888456,22059.73446823917,14835.297998382453
39,DecisionTreeRegressor,Recursive,LinearRegression,9,1.0,0.909111826352507,0.909111826352507,6860.139269425449,2406.93074388595
40,LinearRegression,Recursive,DecisionTreeRegressor,9,0.08693818479556803,0.08630332142098207,0.08630332142098207,21751.0520333425,14579.254931955167
41,DecisionTreeRegressor,Recursive,DecisionTreeRegressor,9,1.0,0.9042747831839696,0.9042747831839696,7040.3203926654705,2392.889795763456
42,LinearRegression,Recursive,LinearRegression,10,0.08702109599281616,0.08627670943547372,0.08627670943547372,21751.36878751288,14578.856144383975
43,DecisionTreeRegressor,Recursive,LinearRegression,10,1.0,0.9105740608492598,0.9105740608492598,6804.731587346313,2394.496133975378
44,LinearRegression,Recursive,DecisionTreeRegressor,10,0.08699067627841373,0.08630423797839337,0.08630423797839337,21751.04112376309,14579.188418396487
45,DecisionTreeRegressor,Recursive,DecisionTreeRegressor,10,1.0,0.9040021624993647,0.9040021624993647,7050.3385071569,2400.734759589155
46,LinearRegression,Recursive,LinearRegression,11,0.08729280496517189,0.08653022268378818,0.08653022268378818,21748.35111096322,14575.987255197138
47,DecisionTreeRegressor,Recursive,LinearRegression,11,1.0,0.9115691128574231,0.9115691128574231,6766.767194657742,2400.5634687794045
48,LinearRegression,Recursive,DecisionTreeRegressor,11,0.08707061073288469,0.08627801331245,0.08627801331245,21751.353267979026,14578.779696308839
49,DecisionTreeRegressor,Recursive,DecisionTreeRegressor,11,1.0,0.9125306722213421,0.9125306722213421,6729.877183625888,2387.0745495805363
50,LinearRegression,Recursive,LinearRegression,12,0.08730107960918554,0.0865188369677461,0.0865188369677461,21748.486648987946,14576.08017362828
51,DecisionTreeRegressor,Recursive,LinearRegression,12,1.0,0.9137526085888787,0.9137526085888787,6682.704051403427,2408.3331320223606
52,LinearRegression,Recursive,DecisionTreeRegressor,12,0.08730107960918554,0.0865188369677461,0.0865188369677461,21748.486648987946,14576.08017362828
53,DecisionTreeRegressor,Recursive,DecisionTreeRegressor,12,1.0,0.9122681279136058,0.9122681279136058,6739.969676163585,2413.8046697661916
54,LinearRegression,Recursive,LinearRegression,13,0.08730716558872864,0.08651418527416778,0.08651418527416777,21748.542023510698,14576.24073284512
55,DecisionTreeRegressor,Recursive,LinearRegression,13,1.0,0.9111268552320408,0.9111268552320408,6783.666957420804,2414.476423132576
56,LinearRegression,Recursive,DecisionTreeRegressor,13,0.08730150245108259,0.08651693732521226,0.08651693732521226,21748.509262661046,14576.141247503747
57,DecisionTreeRegressor,Recursive,DecisionTreeRegressor,13,1.0,0.9113186012990946,0.9113186012990946,6776.345039105397,2417.3407045093336
